"Борт","Вход","Выход","Вход/Выход","Время"
TЕ127НС154,0,1,Выход,2022-07-27 11:13:01
TЕ127НС154,1,0,Вход,2022-07-27 11:13:06
TЕ127НС154,1,0,Вход,2022-07-27 11:13:07
TЕ127НС154,1,0,Вход,2022-07-27 11:13:11
TЕ127НС154,0,1,Выход,2022-07-27 11:16:59
TЕ127НС154,0,1,Выход,2022-07-27 11:17:01
TЕ127НС154,0,1,Выход,2022-07-27 11:17:03
TЕ127НС154,0,1,Выход,2022-07-27 11:17:05
TЕ127НС154,0,1,Выход,2022-07-27 11:17:15
TЕ127НС154,0,1,Выход,2022-07-27 11:17:18
TЕ127НС154,0,1,Выход,2022-07-27 11:17:19
TЕ127НС154,0,1,Выход,2022-07-27 11:17:21
TЕ127НС154,0,1,Выход,2022-07-27 11:17:29
TЕ127НС154,0,1,Выход,2022-07-27 11:18:14
TЕ127НС154,0,1,Выход,2022-07-27 11:18:16
TЕ127НС154,1,0,Вход,2022-07-27 11:24:17
TЕ127НС154,1,0,Вход,2022-07-27 11:24:22
TЕ127НС154,1,0,Вход,2022-07-27 11:24:24
TЕ127НС154,1,0,Вход,2022-07-27 11:24:28
TЕ127НС154,0,1,Выход,2022-07-27 11:29:56
TЕ127НС154,1,0,Вход,2022-07-27 11:30:00
TЕ127НС154,0,1,Выход,2022-07-27 11:32:17
TЕ127НС154,1,0,Вход,2022-07-27 11:32:16
TЕ127НС154,1,0,Вход,2022-07-27 11:32:18
TЕ127НС154,1,0,Вход,2022-07-27 11:32:22
TЕ127НС154,0,1,Выход,2022-07-27 11:34:39
TЕ127НС154,1,0,Вход,2022-07-27 11:34:45
TЕ127НС154,0,1,Выход,2022-07-27 11:36:36
TЕ127НС154,0,1,Выход,2022-07-27 11:39:46
TЕ127НС154,0,1,Выход,2022-07-27 11:39:49
TЕ127НС154,0,1,Выход,2022-07-27 11:39:51
TЕ127НС154,0,1,Выход,2022-07-27 11:39:53
TЕ127НС154,0,1,Выход,2022-07-27 11:40:04
TЕ127НС154,0,1,Выход,2022-07-27 11:40:07
TЕ127НС154,1,0,Вход,2022-07-27 11:48:49
TЕ127НС154,1,0,Вход,2022-07-27 11:52:56
TЕ127НС154,0,1,Выход,2022-07-27 11:54:55
